Date,Name,Year,Letterboxd URI,Rating
2023-03-04,Parasite,2019,https://boxd.it/hTha,5
2023-03-04,Pulp Fiction,1994,https://boxd.it/29Pq,5
2023-03-04,Midsommar,2019,https://boxd.it/jhxe,5
2023-03-04,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2023-03-04,Interstellar,2014,https://boxd.it/4VZ8,5
2023-03-05,Napoleon Dynamite,2004,https://boxd.it/20wu,4.5
2023-03-23,Cowboy Bebop,1998,https://boxd.it/ptES,5
2023-06-07,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-06-08,My Neighbor Totoro,1988,https://boxd.it/20eA,5
2023-06-08,Venom,2018,https://boxd.it/b8wA,3.5
2023-06-08,Home Alone,1990,https://boxd.it/29Fg,3.5
2023-06-08,Venom: Let There Be Carnage,2021,https://boxd.it/llco,3
2023-06-08,65,2023,https://boxd.it/qbus,0.5
2023-06-08,In Bruges,2008,https://boxd.it/20n8,4.5
2023-06-08,Bolt,2008,https://boxd.it/1QXg,3.5
2023-06-08,Jurassic Park,1993,https://boxd.it/2aA2,5
2023-06-08,Baby Driver,2017,https://boxd.it/bhF2,4.5
2023-06-08,Kung Fu Panda 3,2016,https://boxd.it/4uRQ,3.5
2023-06-08,Squid Game,2021,https://boxd.it/x1OG,4
2023-06-08,The Last of the Mohicans,1992,https://boxd.it/1YSo,3.5
2023-06-08,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2023-06-08,The Great Gatsby,2013,https://boxd.it/JY,3.5
2023-06-08,Romeo + Juliet,1996,https://boxd.it/2ama,5
2023-06-08,Ratatouille,2007,https://boxd.it/27ww,3.5
2023-06-08,Finding Nemo,2003,https://boxd.it/72i,4
2023-06-08,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,5
2023-06-08,The Menu,2022,https://boxd.it/lScm,4.5
2023-06-08,Rashomon,1950,https://boxd.it/2a9K,4
2023-06-08,Black Panther,2018,https://boxd.it/8MHs,4
2023-06-08,Captain America: Civil War,2016,https://boxd.it/89Ja,4
2023-06-08,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2023-06-08,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3.5
2023-06-08,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2023-06-08,The Avengers,2012,https://boxd.it/1xFW,3
2023-06-08,Frozen,2013,https://boxd.it/3GNa,3.5
2023-06-08,Deadpool 2,2018,https://boxd.it/dlLM,4
2023-06-08,Thor: Ragnarok,2017,https://boxd.it/8MHi,4
2023-06-08,Eternals,2021,https://boxd.it/j36o,2.5
2023-06-08,Inside Out,2015,https://boxd.it/4KHC,3.5
2023-06-08,It,2017,https://boxd.it/bC8e,3.5
2023-06-08,The Dressmaker,2015,https://boxd.it/9sZy,3
2023-06-09,Cocaine Bear,2023,https://boxd.it/ugw2,2
2023-06-09,Black Adam,2022,https://boxd.it/fup0,1.5
2023-06-12,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2023-06-19,Inception,2010,https://boxd.it/1skk,4.5
2023-06-22,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2023-06-22,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
